apple,A round fruit with red or green skin and a whitish interior
banana,A long curved fruit with a yellow skin and soft, sweet, white flesh inside
cat,A small domesticated carnivorous mammal with soft fur
dog,A domesticated carnivorous mammal that typically has a long snout
elephant,A large herbivorous mammal with a trunk and tusks
fish,A limbless cold-blooded vertebrate animal with gills and fins
giraffe,A large African mammal with a very long neck and legs
house,A building for human habitation
ice,A frozen water
jungle,An area of land overgrown with dense forest and tangled vegetation
kite,A toy consisting of a light frame with thin material stretched over it
lemon,A yellow citrus fruit with a sour taste
mountain,A large natural elevation of the earth's surface
notebook,A small book with blank or ruled pages for writing notes
orange,A round juicy citrus fruit with a tough bright reddish-yellow rind
pencil,A writing implement with a graphite core encased in wood
queen,A female ruler of a country
rain,A form of precipitation in which liquid drops of water fall from the sky
sun,A star at the center of the solar system
tiger,A large cat species that is found in the wild in Asia
umbrella,A device used to protect from rain or sun
vase,A decorative container, typically made of glass or ceramic
whale,A very large marine mammal with a streamlined body
xylophone,A musical instrument with wooden bars struck by mallets
yacht,A medium-sized sailboat equipped for cruising
zebra,A wild African horse with black-and-white stripes
airplane,A powered flying vehicle with fixed wings
bicycle,A vehicle composed of two wheels held in a frame one behind the other
cloud,A visible mass of condensed water vapor floating in the atmosphere
desk,A piece of furniture with a flat surface and legs
egg,A round or oval object laid by a female bird, reptile, fish, or invertebrate
flower,A seed-bearing part of a plant, consisting of reproductive organs
garden,A plot of ground where flowers, shrubs, vegetables, fruits, or herbs are cultivated
hat,A head covering which is worn for various reasons
ink,A colored fluid used for writing, drawing, printing, or duplicating
jacket,A short coat
key,A small piece of shaped metal with incisions cut to fit the wards of a particular lock
lamp,A device that produces light
mirror,A reflective surface, now typically of glass coated with a metal amalgam
nest,A structure built by birds for laying eggs and housing their young
ocean,A very large expanse of sea
piano,A large keyboard musical instrument with a wooden case enclosing a soundboard
quilt,A warm bed covering made of padding enclosed between layers of fabric
rose,A prickly bush or shrub that typically bears red, pink, yellow, or white fragrant flowers
star,A fixed luminous point in the night sky
tree,A perennial plant with an elongated stem, or trunk
violin,A string instrument played with a bow
window,An opening in the wall of a building, typically fitted with glass
